N,Triton NR (GB/s),PyTorch NR (GB/s),Triton BSearch (GB/s),PyTorch BSearch (GB/s),Softmax (GB/s)
256.000000,767.077602,55.726253,720.889596,45.669841,817.857065
512.000000,1055.387051,90.906987,993.307299,68.159009,1201.455421
1024.000000,1484.416199,124.697788,1401.668988,99.817537,1635.249198
2048.000000,1732.129929,105.960304,1610.687226,88.714055,1700.795816
4096.000000,1848.157586,96.075099,1869.127172,83.099290,1835.731231
8192.000000,1187.428383,100.800049,1596.992075,88.132294,1725.297132
16384.000000,754.970758,104.726898,679.965279,91.671168,2007.094421
32768.000000,737.163791,107.069438,555.561674,93.951518,1348.298552
65536.000000,737.040344,108.669841,557.997686,95.450031,1104.587052
131072.000000,737.173479,109.466975,558.984335,96.105541,1104.926150
